query_id,domain,query,context_length_chars,matched_keywords,keyword_coverage_ratio,query_context_cosine_sim,gold_context_cosine_sim,is_relevant_hit,is_grounded,hallucination_detected,retrieved_snippet
Q-01,Computer Networks,What is the purpose of subnetting an IPv4 network and how does a subnet mask work?,2579,,0.0,0.2691,0.2725,False,False,True,"Copyright © 2015 Pearson Education, Inc.   www.knust.edu.gh TCP/IP Family Members  Copyright © 2015 Pearson Education, I..."
Q-02,Computer Networks,Explain the 3-way TCP handshake process for establishing a reliable connection.,2586,tcp; ack; sequence; connection,0.6667,0.5369,0.5206,True,True,False,"Copyright © 2015 Pearson Education, Inc.   www.knust.edu.gh TCP/IP Family Members  Copyright © 2015 Pearson Education, I..."
Q-03,Computer Networks,"What is the difference between broadcast, unicast, and multicast addressing in IPv4?",2722,transmission,0.1667,0.3205,0.2895,False,False,True,"Copyright © 2015 Pearson Education, Inc. 4-10 Figure 4.4  Building a large bus network from smaller ones  Copyright © 20..."
Q-04,Computer Networks,What is the role of ARP Address Resolution Protocol in local Ethernet networks?,2459,arp; ethernet; ip; address,0.6667,0.3555,0.3724,True,True,False,"Copyright © 2015 Pearson Education, Inc. 4-50 Figure 4.12  Package-shipping example  Copyright © 2015 Pearson Education,..."
Q-05,Computer Networks,How does DNS domain name resolution work from root server to authoritative server?,1818,dns,0.1667,0.3498,0.5269,False,True,False,"Options: host, guardian, initial, parent  ---  Copyright © 2015 Pearson Education, Inc. 4-19 Figure 4.7  Internet Compos..."
Q-06,Computer Networks,What is the difference between TCP congestion control and flow control mechanisms?,2586,flow,0.1667,0.4402,0.4108,False,False,True,"Copyright © 2015 Pearson Education, Inc.   www.knust.edu.gh TCP/IP Family Members  Copyright © 2015 Pearson Education, I..."
Q-07,Algorithms & Data Structures,What is the worst-case and average-case time complexity of QuickSort algorithm?,2633,quicksort; complexity,0.3333,0.4468,0.4354,False,True,False,"or all ∼ characters.   Sometimes, you can trip up a method that expects to process names by using strings containing  nu..."
Q-08,Algorithms & Data Structures,How does Dijkstra algorithm find the shortest path in a weighted graph and why does it fail with negative weights?,1910,path; negative,0.2857,0.3933,0.429,False,True,False,--- Document: SciQ_Exam_Q2776.txt --- Question: Deceleration is the opposite of what? Correct Answer: acceleration Expla...
Q-09,Algorithms & Data Structures,What is the difference between Breadth-First Search BFS and Depth-First Search DFS traversals?,2400,bfs; dfs; tree,0.4286,0.3657,0.351,True,True,False,Depth-LimitedSearchThisisthesameasaDepth-Firstsearchwithadepthlimitl.Thismeansthatthenodesatdepthlhavenosuccessors.Recur...
Q-10,Algorithms & Data Structures,Explain how an AVL tree maintains height balance through rotations.,2048,tree,0.1667,0.5076,0.3722,True,False,True,--- Document: SciQ_Exam_Q929.txt --- Question: What part of the plant holds the plant upright? Correct Answer: the stem ...
Q-11,Algorithms & Data Structures,What is dynamic programming and how does memoization differ from tabulation?,2310,programming,0.1667,0.4304,0.4265,False,False,True,and deemphasize planning. These models produce code iteratively and incrementally as quickly as possible. RAD principles...
Q-12,Algorithms & Data Structures,How does a hash table handle hash collisions using chaining versus open addressing?,2758,hash; table,0.3333,0.377,0.2798,False,True,False,Using React Router ❘ 295 HashRouter HashRouter uses the part of the URL after the hash symbol (#) to synchronize the loc...
Q-13,Operating Systems,Explain the four Coffman conditions necessary for a deadlock to occur in an operating system.,2611,,0.0,0.382,0.2611,False,False,True,53. What is the result of the expression `5 % 3` in C++?      a) 2      b) 3      c) 1      d) 0    54. What is the purp...
Q-14,Operating Systems,What is virtual memory and how does the Memory Management Unit MMU use page tables?,1733,virtual; memory; mmu; page; table; translation; tlb,1.0,0.6381,0.7287,True,True,False,--- Document: OSTEP_Operating_Systems_Three_Easy_Pieces.txt --- License: Open Educational Resource (ostep.org) Source: O...
